l1: 0.6542578484271331	newPR sum: 1.0000000000000022
l1: 0.2308556524714841	newPR sum: 0.9999999999999994
l1: 0.11201624641321693	newPR sum: 1.000000000000003
l1: 0.05972201572977834	newPR sum: 1.0000000000000007
l1: 0.036331031577437875	newPR sum: 1.0000000000000009
l1: 0.023227704605248395	newPR sum: 0.9999999999999986
l1: 0.016491811650124276	newPR sum: 0.9999999999999979
l1: 0.011969353433536986	newPR sum: 1.0000000000000007
l1: 0.009015452541150552	newPR sum: 0.9999999999999997
l1: 0.006834520964236366	newPR sum: 0.9999999999999989
l1: 0.005254543640644863	newPR sum: 1.0000000000000004
l1: 0.004081055533560632	newPR sum: 0.9999999999999998
l1: 0.0031861349150849663	newPR sum: 0.9999999999999991
l1: 0.00252524879154816	newPR sum: 0.9999999999999987
l1: 0.002006349636236025	newPR sum: 0.999999999999999
l1: 0.00162192465525353	newPR sum: 0.9999999999999992
l1: 0.001308730096905993	newPR sum: 1.0000000000000002
l1: 0.00107651723025093	newPR sum: 0.9999999999999994
l1: 0.0008811118010355937	newPR sum: 1.000000000000001
l1: 0.0007340153964783855	newPR sum: 0.9999999999999989
l1: 0.0006097213847751319	newPR sum: 1.0000000000000009
l1: 0.0005125925300820613	newPR sum: 1.000000000000002
